iter	Passed	Remaining
0	3	3384
1	7	3501
2	11	3965
3	16	4160
4	20	4043
5	24	3992
6	27	3946
7	30	3836
8	34	3743
9	36	3650
10	39	3589
11	43	3542
12	46	3506
13	49	3461
14	52	3419
15	55	3383
16	57	3347
17	60	3313
18	63	3292
19	66	3272
20	69	3242
21	72	3237
22	75	3216
23	78	3199
24	81	3192
25	85	3221
26	89	3211
27	92	3208
28	95	3199
29	98	3196
30	102	3188
31	105	3189
32	108	3175
33	111	3169
34	114	3158
35	118	3165
36	121	3164
37	124	3155
38	127	3146
39	131	3145
40	134	3134
41	137	3134
42	140	3130
43	143	3125
44	146	3118
45	151	3141
46	155	3160
47	161	3197
48	164	3192
49	167	3182
50	171	3193
51	174	3185
52	179	3200
53	182	3194
54	186	3195
55	188	3179
56	192	3182
57	195	3181
58	199	3189
59	203	3189
60	207	3197
61	211	3200
62	215	3209
63	219	3208
64	223	3212
65	227	3216
66	230	3211
67	234	3210
68	238	3213
69	241	3211
70	245	3215
71	249	3209
72	252	3209
73	256	3207
74	259	3205
75	264	3214
76	267	3211
77	272	3216
78	276	3220
79	279	3218
80	283	3217
81	286	3210
82	290	3210
83	294	3206
84	297	3204
85	301	3205
86	306	3219
87	312	3242
88	316	3236
89	319	3233
90	323	3233
91	327	3228
92	330	3225
93	334	3222
94	338	3225
95	342	3221
96	345	3216
97	349	3212
98	352	3211
99	357	3213
100	360	3211
101	364	3209
102	368	3205
103	372	3205
104	375	3200
105	378	3196
106	382	3190
107	385	3182
108	388	3176
109	392	3173
110	396	3171
111	399	3168
112	403	3169
113	407	3168
114	411	3164
115	414	3162
116	419	3162
117	422	3159
118	426	3154
119	430	3153
120	433	3149
121	446	3212
122	449	3204
123	470	3321
124	478	3346
125	486	3374
126	494	3395
127	500	3410
128	506	3422
129	510	3416
130	514	3414
131	520	3423
132	527	3438
133	532	3438
134	535	3433
135	539	3426
136	543	3422
137	546	3415
138	550	3410
139	554	3405
140	557	3397
141	560	3388
142	564	3383
143	568	3378
144	572	3373
145	575	3365
146	579	3361
147	583	3358
148	586	3350
149	590	3344
150	593	3336
151	597	3333
152	601	3331
153	605	3325
154	609	3320
155	612	3316
156	617	3316
157	623	3324
158	629	3328
159	632	3321
160	636	3317
161	640	3312
162	644	3307
163	647	3302
164	651	3296
165	655	3290
166	658	3287
167	662	3279
168	665	3274
169	669	3270
170	673	3266
171	677	3261
172	680	3254
173	684	3251
174	688	3247
175	692	3241
176	696	3236
177	699	3229
178	703	3226
179	706	3220
180	710	3215
181	714	3209
182	717	3205
183	721	3199
184	725	3194
185	728	3188
186	732	3184
187	736	3180
188	739	3174
189	743	3170
190	747	3164
191	750	3160
192	754	3156
193	758	3150
194	763	3151
195	766	3145
196	771	3142
197	776	3145
198	782	3150
199	785	3143
200	789	3138
201	793	3135
202	797	3132
203	802	3130
204	805	3123
205	809	3121
206	813	3116
207	816	3110
208	820	3104
209	824	3099
210	827	3094
211	831	3089
212	834	3083
213	838	3077
214	842	3074
215	845	3068
216	849	3064
217	852	3058
218	856	3055
219	860	3050
220	863	3044
221	866	3037
222	870	3033
223	873	3027
224	877	3023
225	881	3017
226	884	3012
227	888	3008
228	892	3005
229	897	3003
230	901	3001
231	905	2996
232	909	2992
233	912	2987
234	916	2984
235	920	2978
236	923	2973
237	929	2975
238	934	2976
239	941	2980
240	945	2977
241	949	2974
242	953	2971
243	957	2967
244	961	2964
245	966	2962
246	970	2958
247	975	2956
248	978	2951
249	982	2947
250	986	2943
251	990	2939
252	994	2936
253	998	2932
254	1003	2930
255	1006	2926
256	1010	2922
257	1015	2920
258	1019	2916
259	1024	2914
260	1028	2910
261	1032	2908
262	1036	2904
263	1040	2899
264	1044	2895
265	1047	2891
266	1052	2889
267	1056	2885
268	1059	2880
269	1063	2875
270	1067	2870
271	1070	2866
272	1074	2861
273	1078	2857
274	1083	2855
275	1087	2853
276	1092	2852
277	1096	2848
278	1101	2845
279	1104	2840
